epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1019,1.68906,3.51802,1.42732,0.00333,1,0.88836,0.66246,0.90287,3.3115,1.01947,0.00012,0.00012,0.00012
2,41.0273,1.39624,2.30202,1.19003,0.00547,1,0.94833,0.56304,1.20083,3.10928,1.22928,0.000254852,0.000254852,0.000254852
3,59.6544,1.33753,2.21634,1.1204,0.00333,1,0.82379,0.37773,1.55105,3.40322,1.58718,0.00038416,0.00038416,0.00038416
4,78.4383,1.27723,2.0407,1.14561,0.00333,1,0.91038,0.51781,1.36628,3.35161,1.38753,0.000507924,0.000507924,0.000507924
5,97.3128,1.24364,1.84291,1.13882,0.81965,0.90971,0.96833,0.60731,1.21566,3.11461,1.2351,0.000626144,0.000626144,0.000626144
6,116.172,1.30463,1.79899,1.15626,0.00333,1,0.87652,0.54416,1.47485,3.34492,1.38548,0.00073882,0.00073882,0.00073882
7,135.325,1.3536,1.83192,1.18225,0.8673,0.4,0.69536,0.39194,1.69542,3.35813,1.62657,0.000845952,0.000845952,0.000845952
8,154.275,1.39709,1.71232,1.17482,0.95784,0.5,0.76641,0.35721,1.86955,3.47168,1.87051,0.00094754,0.00094754,0.00094754
9,172.989,1.30586,1.75016,1.16486,0.92973,0.8,0.89246,0.48455,1.65599,3.19559,1.68685,0.00104358,0.00104358,0.00104358
10,191.664,1.34158,1.60443,1.1634,0.72121,0.7,0.77498,0.43413,1.84717,3.25734,1.65899,0.00113408,0.00113408,0.00113408
11,210.244,1.19905,1.53613,1.10439,0.73129,0.9,0.82181,0.22226,2.05063,3.64418,1.95021,0.00121904,0.00121904,0.00121904
12,228.937,1.26771,1.55656,1.12296,0.46083,0.6,0.48436,0.21059,2.21563,3.82822,2.12775,0.00129845,0.00129845,0.00129845
13,247.97,1.28601,1.58367,1.13814,0.61819,0.4,0.5191,0.18215,1.79344,4.06378,1.77002,0.00137232,0.00137232,0.00137232
14,266.518,1.29682,1.45707,1.16055,0.53363,0.4,0.47701,0.17488,2.06316,6.35482,1.91804,0.00144064,0.00144064,0.00144064
