epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.715,1.53127,3.01163,1.4185,0.00333,1,0.8188,0.42192,0.91686,3.22644,1.08786,0.00026,0.00026,0.00026
2,244.866,1.31265,2.14341,1.25777,0.00333,1,0.93976,0.56062,1.00403,3.09447,1.10274,0.000529308,0.000529308,0.000529308
3,351.753,1.36222,1.78787,1.20229,0.00333,1,0.68079,0.36364,0.96656,3.19037,1.04835,0.000787528,0.000787528,0.000787528
4,453.373,1.37824,1.86769,1.2416,0.68692,0.66667,0.72485,0.37215,1.303,3.23623,1.21412,0.00103466,0.00103466,0.00103466
5,553.923,1.39161,1.80069,1.23698,0.65675,0.48485,0.61008,0.28731,1.20197,2.59893,1.2916,0.0012707,0.0012707,0.0012707
6,650.203,1.38786,1.7607,1.29016,0.4088,0.36364,0.33265,0.132,1.36078,3.19109,1.51742,0.00149566,0.00149566,0.00149566
7,743.285,1.37549,1.63346,1.29567,0.54351,0.36364,0.38868,0.2341,1.37479,2.81399,1.36553,0.00170953,0.00170953,0.00170953
8,836.005,1.41598,1.61738,1.32171,0.54738,0.51515,0.51318,0.26956,1.36805,2.59407,1.43752,0.0017228,0.0017228,0.0017228
9,928.914,1.37339,1.48102,1.2638,0.7586,0.57576,0.71848,0.36741,1.49778,2.12629,1.25114,0.0016832,0.0016832,0.0016832
10,1021.47,1.39661,1.433,1.26943,0.66748,0.72999,0.78661,0.37462,1.28888,2.01231,1.26928,0.0016436,0.0016436,0.0016436
11,1114.82,1.40299,1.43655,1.28505,0.78918,0.78788,0.83291,0.42508,1.77661,2.00549,1.47918,0.001604,0.001604,0.001604
12,1207.73,1.38765,1.37639,1.25008,0.87904,0.75758,0.86966,0.48931,1.24866,2.34692,1.17584,0.0015644,0.0015644,0.0015644
13,1300.69,1.23149,1.24183,1.18391,0.7917,0.81818,0.84356,0.49582,1.11597,1.51638,1.12792,0.0015248,0.0015248,0.0015248
14,1393.4,1.28166,1.18608,1.19975,0.92606,0.81818,0.898,0.54886,1.38045,1.44249,1.25026,0.0014852,0.0014852,0.0014852
15,1487.74,1.26426,1.13706,1.19264,0.98895,0.90909,0.97098,0.63999,1.00031,1.11484,1.08898,0.0014456,0.0014456,0.0014456
16,1585.08,1.30489,1.13894,1.19664,0.84629,0.87879,0.93562,0.59745,1.11991,1.26869,1.08329,0.001406,0.001406,0.001406
17,1678.77,1.23225,1.04326,1.16495,0.91005,0.91999,0.96678,0.57869,1.44511,1.47777,1.2739,0.0013664,0.0013664,0.0013664
18,1773.48,1.21997,1.04508,1.17438,0.94098,0.96644,0.98096,0.63942,1.27353,1.07216,1.15605,0.0013268,0.0013268,0.0013268
19,1867.93,1.15034,1.00085,1.14322,0.99436,1,0.995,0.60132,1.1378,0.90384,1.11935,0.0012872,0.0012872,0.0012872
20,1963.09,1.17579,0.99656,1.16041,0.93076,0.81476,0.89691,0.55279,2.1926,1.41499,2.40415,0.0012476,0.0012476,0.0012476
21,2057.53,1.12871,0.95594,1.13078,0.89436,0.9697,0.94821,0.5488,1.87535,1.41189,2.06605,0.001208,0.001208,0.001208
22,2153.19,1.14379,0.95155,1.15869,0.946,1,0.96941,0.5729,1.38215,1.13583,1.36337,0.0011684,0.0011684,0.0011684
23,2247.28,1.20049,0.9508,1.15329,0.96272,0.9697,0.97812,0.51431,1.37872,0.99918,1.40887,0.0011288,0.0011288,0.0011288
24,2341.95,1.09678,0.91811,1.12438,0.9875,1,0.995,0.55863,1.22408,1.01914,1.32434,0.0010892,0.0010892,0.0010892
25,2436.51,1.06228,0.87154,1.09333,0.93961,0.9697,0.98718,0.63226,0.9568,0.92774,1.10674,0.0010496,0.0010496,0.0010496
26,2530.31,1.04039,0.82506,1.07684,0.95244,0.93939,0.97626,0.61283,1.30258,1.04034,1.07299,0.00101,0.00101,0.00101
27,2624.54,1.03905,0.7866,1.07485,0.965,0.9697,0.98116,0.60869,0.9127,0.88598,1.01673,0.0009704,0.0009704,0.0009704
28,2719.26,1.03919,0.81711,1.09746,1,0.96216,0.99105,0.6504,1.09432,0.73661,1.04999,0.0009308,0.0009308,0.0009308
29,2813.56,1.06829,0.8106,1.11642,0.99562,0.9697,0.99176,0.64421,0.87144,0.75546,1.02717,0.0008912,0.0008912,0.0008912
30,2908.22,1.02523,0.7862,1.09219,0.99648,1,0.995,0.59943,0.8801,0.71388,1.03768,0.0008516,0.0008516,0.0008516
31,3005.21,0.97762,0.7578,1.04935,0.967,1,0.98088,0.65579,0.85487,0.6632,1.00067,0.000812,0.000812,0.000812
32,3099.42,0.98501,0.76617,1.08921,0.96626,1,0.99235,0.63708,0.94153,0.74572,0.9859,0.0007724,0.0007724,0.0007724
33,3193.94,0.97461,0.72686,1.05673,0.99657,1,0.995,0.58241,1.2522,0.79721,1.07992,0.0007328,0.0007328,0.0007328
34,3288.14,0.96675,0.72367,1.05277,0.99783,1,0.995,0.69842,1.04474,0.76971,1.01563,0.0006932,0.0006932,0.0006932
35,3381.88,0.96092,0.721,1.04766,1,0.99584,0.995,0.60433,1.35073,0.77954,1.06032,0.0006536,0.0006536,0.0006536
36,3475.71,0.94507,0.70079,1.02389,0.99062,1,0.995,0.60323,0.91689,0.66239,0.98157,0.000614,0.000614,0.000614
37,3569.8,0.90611,0.68588,1.03226,1,0.9945,0.995,0.54857,1.08702,0.68147,1.01078,0.0005744,0.0005744,0.0005744
38,3663.9,0.8528,0.65677,1.00505,0.99774,1,0.995,0.44632,1.72411,0.83317,1.16079,0.0005348,0.0005348,0.0005348
39,3759.63,0.8915,0.6355,1.00181,0.9964,1,0.995,0.57199,1.3499,0.68888,1.03755,0.0004952,0.0004952,0.0004952
40,3853.01,0.93175,0.65644,1.05429,0.99626,1,0.995,0.50078,1.49317,0.72379,1.09457,0.0004556,0.0004556,0.0004556
41,3947.29,0.77216,0.62757,0.94711,0.99739,1,0.995,0.56905,1.21063,0.69035,1.04632,0.000416,0.000416,0.000416
42,4040.1,0.77587,0.60739,0.94725,0.99041,1,0.995,0.54999,0.97668,0.68597,0.99044,0.0003764,0.0003764,0.0003764
43,4133.76,0.74345,0.58859,0.92254,0.99455,1,0.995,0.53205,0.89624,0.66345,0.99871,0.0003368,0.0003368,0.0003368
44,4227.06,0.72947,0.572,0.92932,0.98435,1,0.995,0.57059,0.84408,0.67347,0.99325,0.0002972,0.0002972,0.0002972
45,4319.89,0.70745,0.55514,0.93104,0.96467,1,0.99412,0.59692,0.88075,0.74487,1.00248,0.0002576,0.0002576,0.0002576
46,4412.85,0.70073,0.5606,0.91665,0.96583,1,0.99412,0.54315,1.47038,0.7161,1.07922,0.000218,0.000218,0.000218
47,4505.81,0.68697,0.53567,0.89231,0.98172,1,0.995,0.5492,1.28228,0.64495,1.0518,0.0001784,0.0001784,0.0001784
48,4598.9,0.66797,0.53236,0.905,0.97938,1,0.995,0.60933,1.05165,0.58514,1.00993,0.0001388,0.0001388,0.0001388
49,4692.14,0.66412,0.52135,0.8922,0.98389,1,0.995,0.60605,1.00918,0.56774,0.99844,9.92e-05,9.92e-05,9.92e-05
50,4785.21,0.62774,0.51048,0.89604,0.9812,1,0.995,0.56904,1.07386,0.56883,1.00184,5.96e-05,5.96e-05,5.96e-05
