epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4003,1.8538,5.59471,1.93474,0.0686,0.06061,0.01158,0.00331,4.06108,6.36542,4.19638,0.00026,0.00026,0.00026
2,114.017,1.8749,3.40594,1.89792,0,0,0,0,4.24785,100.316,8.44205,0.000529308,0.000529308,0.000529308
3,175.276,1.93552,2.40355,1.92203,0,0,0,0,nan,nan,nan,0.000787528,0.000787528,0.000787528
4,221.054,1.96389,2.55506,2.0155,0,0,0,0,nan,nan,nan,0.00103466,0.00103466,0.00103466
5,279.708,1.91756,2.24499,2.00262,0,0,0,0,nan,nan,nan,0.0012707,0.0012707,0.0012707
6,349.688,1.9782,2.126,2.00697,0,0,0,0,nan,nan,nan,0.00149566,0.00149566,0.00149566
7,396.462,1.97901,2.12147,2.04503,0.00091,0.06061,0.0005,0.00015,nan,nan,nan,0.00170953,0.00170953,0.00170953
8,439.716,1.83642,1.98238,1.83508,0,0,0,0,4.6938,inf,12.7696,0.0017228,0.0017228,0.0017228
9,487.412,1.7518,1.90192,1.77843,0.00179,0.15152,0.00098,0.00029,3.51545,inf,37.0153,0.0016832,0.0016832,0.0016832
10,531.073,1.74731,1.77239,1.80471,0.00432,0.06061,0.00114,0.00035,nan,nan,nan,0.0016436,0.0016436,0.0016436
11,578.222,1.79795,1.75625,1.82655,0.00503,0.12121,0.00143,0.00045,4.11403,54.8804,5.26829,0.001604,0.001604,0.001604
12,622.717,1.74949,1.63804,1.76427,0.00307,0.24242,0.00133,0.00033,1.63376,inf,1.88266,0.0015644,0.0015644,0.0015644
13,661.255,1.77903,1.66453,1.78926,0.03305,0.36364,0.02159,0.0099,3.90535,inf,7.32624,0.0015248,0.0015248,0.0015248
14,702.674,1.66909,1.50077,1.66773,0.08052,0.09091,0.03223,0.0155,2.48125,13.4457,2.98556,0.0014852,0.0014852,0.0014852
15,738.563,1.62883,1.41392,1.63123,0.7256,0.39394,0.39323,0.2214,0.89972,4.23516,1.04791,0.0014456,0.0014456,0.0014456
16,784.693,1.67445,1.45029,1.71114,0.32753,0.18182,0.20515,0.13309,2.61618,9.45848,3.6741,0.001406,0.001406,0.001406
17,824.703,1.60161,1.38121,1.64826,1,0.32067,0.37032,0.21696,2.37433,10.6012,4.47476,0.0013664,0.0013664,0.0013664
18,874.176,1.51758,1.34405,1.58346,0.6836,0.52401,0.64793,0.34295,1.91408,1.38487,2.32258,0.0013268,0.0013268,0.0013268
