epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.24391,1.54653,3.14605,1.44762,0.00333,1,0.95425,0.50453,1.11045,2.86337,1.07006,0.00026,0.00026,0.00026
2,6.49769,1.42082,2.13538,1.31002,0.03871,0.72727,0.58289,0.3173,1.46289,3.01812,1.43872,0.000529308,0.000529308,0.000529308
3,8.84849,1.36663,2.07954,1.29492,0.71183,0.60606,0.63267,0.26969,1.33292,3.34781,1.67233,0.000787528,0.000787528,0.000787528
4,11.0943,1.42549,1.82929,1.26228,0.94743,0.54617,0.7377,0.36213,1.85511,2.70415,2.27088,0.00103466,0.00103466,0.00103466
5,13.2767,1.3807,1.86588,1.26396,0.73117,0.45455,0.49875,0.22138,1.88147,2.46955,1.76188,0.0012707,0.0012707,0.0012707
6,15.5711,1.37156,1.71938,1.25253,0.47378,0.24571,0.29735,0.16553,2.07421,3.27852,2.27741,0.00149566,0.00149566,0.00149566
7,17.6448,1.40625,1.71004,1.29078,0.60256,0.36364,0.41174,0.24784,1.60019,2.34736,1.5593,0.00170953,0.00170953,0.00170953
8,19.7299,1.36719,1.5879,1.21732,0.68074,0.71097,0.65624,0.35185,1.98435,2.51538,2.09324,0.0017228,0.0017228,0.0017228
9,22.0586,1.39484,1.50264,1.27027,0.56368,0.54545,0.58036,0.29803,1.81116,2.39052,1.88584,0.0016832,0.0016832,0.0016832
10,24.1839,1.33956,1.42407,1.24631,0.67378,0.6261,0.65401,0.32051,1.89381,2.66971,1.85334,0.0016436,0.0016436,0.0016436
11,26.2097,1.34961,1.41915,1.29916,0.68424,0.63636,0.65615,0.34165,1.74977,1.78031,2.15835,0.001604,0.001604,0.001604
12,28.3972,1.34918,1.28985,1.2501,0.80355,0.69697,0.76574,0.33742,1.7102,1.46122,1.44161,0.0015644,0.0015644,0.0015644
13,30.4451,1.3721,1.27412,1.27433,0.79367,0.81599,0.84615,0.46575,1.87509,1.31718,2.1507,0.0015248,0.0015248,0.0015248
14,32.5921,1.27567,1.21397,1.22328,0.38098,0.45455,0.3798,0.16114,1.6613,2.37922,1.85871,0.0014852,0.0014852,0.0014852
15,34.8087,1.29415,1.1653,1.21,0.66253,0.84848,0.74792,0.31924,1.57409,2.12364,2.20071,0.0014456,0.0014456,0.0014456
16,36.9226,1.30262,1.1778,1.25606,0.87881,0.87896,0.92818,0.49594,1.81616,1.1924,2.28838,0.001406,0.001406,0.001406
17,38.9535,1.22471,1.09395,1.20392,0.90782,0.93939,0.97736,0.57572,1.73058,1.35835,2.3865,0.0013664,0.0013664,0.0013664
18,41.2159,1.16672,1.04768,1.17134,0.82772,0.87879,0.87164,0.48807,1.61475,1.1469,1.29027,0.0013268,0.0013268,0.0013268
19,43.3716,1.1889,1.00869,1.16162,0.86101,0.87879,0.93035,0.46349,1.87078,1.17192,1.55206,0.0012872,0.0012872,0.0012872
20,45.4388,1.2399,1.03618,1.16678,0.93127,0.9697,0.98209,0.55491,1.84993,1.33541,2.24319,0.0012476,0.0012476,0.0012476
21,47.6681,1.23031,1.04871,1.21386,0.96593,0.9697,0.98155,0.58238,1.76523,0.97239,2.41536,0.001208,0.001208,0.001208
22,49.8513,1.14666,0.966,1.13009,0.95948,0.9697,0.95795,0.55066,1.6398,1.14201,1.543,0.0011684,0.0011684,0.0011684
23,51.9256,1.16062,0.97643,1.18088,0.9506,0.93939,0.92328,0.58743,1.34796,1.0047,1.33707,0.0011288,0.0011288,0.0011288
24,54.1158,1.05837,0.8611,1.08706,0.93908,0.93433,0.93071,0.44874,1.83579,0.87863,2.11414,0.0010892,0.0010892,0.0010892
