epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.52594,1.67268,4.19176,1.59329,0.42106,0.57576,0.5181,0.25722,0.89478,9.79887,1.09851,0.00026,0.00026,0.00026
2,8.62472,1.40957,2.10865,1.39128,0.76269,0.87879,0.89561,0.50333,1.16165,3.31407,1.25362,0.000529308,0.000529308,0.000529308
3,11.5223,1.36204,1.68292,1.28925,0.68491,0.59309,0.64248,0.41014,1.28627,4.30171,1.24355,0.000787528,0.000787528,0.000787528
4,14.226,1.40415,1.3397,1.33589,0.04599,0.30303,0.04227,0.01089,2.22499,11.1784,2.61969,0.00103466,0.00103466,0.00103466
5,16.9461,1.49046,1.39718,1.44755,0.02991,0.39394,0.01892,0.00607,2.9181,174.623,13.5107,0.0012707,0.0012707,0.0012707
6,19.5851,1.44031,1.24668,1.43146,0.39305,0.15152,0.14084,0.05298,1.93505,5.37556,2.59506,0.00149566,0.00149566,0.00149566
7,22.1511,1.60901,1.26589,1.53829,0.01673,0.15152,0.00611,0.00206,4.24681,103.355,16.7948,0.00170953,0.00170953,0.00170953
8,24.7539,1.54446,1.21456,1.42819,0.24366,0.15152,0.11449,0.04977,2.96875,8.42019,8.16333,0.0017228,0.0017228,0.0017228
9,27.2594,1.52495,1.16481,1.48632,0.36642,0.45568,0.36976,0.15351,2.40236,3.07405,2.375,0.0016832,0.0016832,0.0016832
10,29.9775,1.48709,1.14003,1.45146,0.61398,0.33758,0.41251,0.14195,2.00568,3.1315,2.88216,0.0016436,0.0016436,0.0016436
11,32.5443,1.53865,1.11427,1.52688,0.46253,0.49567,0.47193,0.24176,1.99237,3.87993,2.73706,0.001604,0.001604,0.001604
12,35.2521,1.48811,1.05431,1.48878,0.76772,0.42424,0.46894,0.1882,2.54311,2.69706,3.30672,0.0015644,0.0015644,0.0015644
13,37.8991,1.45463,1.00884,1.41871,0.76852,0.60374,0.66795,0.34711,2.09198,2.43849,2.78411,0.0015248,0.0015248,0.0015248
14,40.6273,1.35553,0.94335,1.31911,0.85809,0.78788,0.88576,0.38967,1.74817,1.17829,2.27333,0.0014852,0.0014852,0.0014852
15,43.2426,1.4038,0.90598,1.38236,0.83537,0.84848,0.88415,0.42689,2.25404,1.3922,2.9557,0.0014456,0.0014456,0.0014456
16,45.8919,1.42987,0.9411,1.43045,0.92938,0.79779,0.90422,0.52942,1.95025,1.19189,2.86352,0.001406,0.001406,0.001406
17,48.5806,1.33573,0.90585,1.36593,0.82533,0.85933,0.85612,0.40285,2.20925,1.44314,2.82367,0.0013664,0.0013664,0.0013664
18,51.234,1.29794,0.86875,1.32705,0.92786,0.9697,0.94961,0.45533,2.56347,0.98594,3.45851,0.0013268,0.0013268,0.0013268
19,53.8663,1.30392,0.88252,1.29531,0.85084,0.84848,0.91,0.4207,2.14981,1.21068,2.54735,0.0012872,0.0012872,0.0012872
20,56.5008,1.31294,0.85452,1.30575,0.99602,0.9697,0.99329,0.5089,2.11175,0.78193,3.25325,0.0012476,0.0012476,0.0012476
21,59.2096,1.33704,0.90289,1.36404,0.92667,0.93939,0.97433,0.52449,1.99399,0.84456,3.03079,0.001208,0.001208,0.001208
22,61.9269,1.20808,0.78898,1.26615,1,0.96913,0.99329,0.52124,2.065,0.93463,2.92851,0.0011684,0.0011684,0.0011684
23,64.7409,1.18862,0.77455,1.32019,0.99674,1,0.995,0.53344,2.09413,0.79257,3.1225,0.0011288,0.0011288,0.0011288
24,67.6202,1.1259,0.72571,1.21893,1,0.83879,0.94411,0.48356,2.06852,1.1612,2.64709,0.0010892,0.0010892,0.0010892
25,70.2498,1.19681,0.76085,1.24464,0.94952,0.9697,0.99056,0.48465,1.97625,0.90299,2.24761,0.0010496,0.0010496,0.0010496
26,72.9601,1.09019,0.71433,1.20567,0.99007,0.9697,0.99412,0.53166,1.78429,0.9636,2.04784,0.00101,0.00101,0.00101
27,75.5384,1.15325,0.76646,1.24877,1,0.96745,0.987,0.42324,2.11577,1.15912,2.44463,0.0009704,0.0009704,0.0009704
28,78.2392,1.09353,0.69066,1.21349,0.94361,0.93939,0.98705,0.48664,1.84278,1.05672,2.28603,0.0009308,0.0009308,0.0009308
29,80.8904,1.14151,0.70843,1.19148,0.95685,0.9697,0.98965,0.50028,1.93251,0.78303,2.2127,0.0008912,0.0008912,0.0008912
30,83.5325,1.08803,0.68311,1.17194,0.96765,1,0.99059,0.51582,1.99524,0.78809,2.39957,0.0008516,0.0008516,0.0008516
31,86.1669,1.06809,0.66006,1.18165,0.9974,1,0.995,0.53497,1.90278,0.80688,2.7303,0.000812,0.000812,0.000812
32,88.9188,1.03766,0.64955,1.17246,0.99464,1,0.995,0.56976,2.00646,0.7892,2.78214,0.0007724,0.0007724,0.0007724
33,91.6445,0.98472,0.62287,1.16199,0.96735,0.9697,0.97659,0.53066,2.19825,0.70911,3.02107,0.0007328,0.0007328,0.0007328
34,94.304,0.99531,0.62142,1.13908,0.98674,1,0.995,0.49466,1.98282,0.70244,2.72599,0.0006932,0.0006932,0.0006932
35,96.9415,0.93953,0.58666,1.1303,0.93953,0.9697,0.9473,0.42941,1.88016,0.62664,2.69038,0.0006536,0.0006536,0.0006536
36,99.5743,0.9672,0.6087,1.17157,1,0.99657,0.995,0.56047,1.56225,0.54005,2.18585,0.000614,0.000614,0.000614
37,102.197,0.92501,0.58686,1.08408,1,0.9915,0.995,0.561,1.73739,0.64354,2.26443,0.0005744,0.0005744,0.0005744
38,104.829,0.97512,0.59025,1.15047,1,0.95972,0.995,0.51006,2.03085,0.63422,2.56282,0.0005348,0.0005348,0.0005348
39,107.506,0.92963,0.60441,1.1335,0.96663,1,0.99412,0.52169,2.09576,0.69716,2.78017,0.0004952,0.0004952,0.0004952
40,110.194,0.91583,0.58961,1.09792,0.99228,1,0.995,0.5443,1.88014,0.65816,2.38663,0.0004556,0.0004556,0.0004556
41,141.403,0.81557,0.53885,1.07466,0.99663,1,0.995,0.52385,1.57113,0.61397,2.05273,0.000416,0.000416,0.000416
42,144.078,0.89289,0.52972,1.13786,0.99769,1,0.995,0.57058,1.64374,0.61731,2.33274,0.0003764,0.0003764,0.0003764
43,146.786,0.79194,0.50712,1.06958,1,0.99988,0.995,0.53388,1.67392,0.63692,2.13309,0.0003368,0.0003368,0.0003368
44,149.599,0.78375,0.4892,1.05867,0.99638,0.93939,0.99238,0.48854,1.65241,0.66072,2.2634,0.0002972,0.0002972,0.0002972
45,152.242,0.78373,0.49221,1.05925,0.99886,1,0.995,0.52993,1.77571,0.63248,2.53059,0.0002576,0.0002576,0.0002576
46,154.912,0.73815,0.47094,1.05196,1,0.9694,0.99329,0.56211,1.73319,0.57898,2.46334,0.000218,0.000218,0.000218
47,157.503,0.71354,0.46165,1.04241,0.99992,0.9697,0.99329,0.54917,1.71312,0.57459,2.44725,0.0001784,0.0001784,0.0001784
48,160.145,0.71626,0.45358,1.02495,0.96928,1,0.99412,0.53598,1.70653,0.61186,2.40758,0.0001388,0.0001388,0.0001388
49,162.793,0.72051,0.4533,1.03201,0.97056,0.99887,0.99412,0.52745,1.6237,0.58237,2.24342,9.92e-05,9.92e-05,9.92e-05
50,167.185,0.66429,0.43464,0.99531,0.99957,0.9697,0.99412,0.55711,1.59716,0.53359,2.2166,5.96e-05,5.96e-05,5.96e-05
