epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1034.6,1.73134,6.92501,1.79818,0.0183,0.60606,0.01918,0.00964,2.10872,inf,3.02343,0.00026,0.00026,0.00026
2,1240.96,1.83313,3.37502,1.81324,0.00188,0.33333,0.00106,0.00035,2.33128,inf,40.2587,0.000529308,0.000529308,0.000529308
3,1388.61,2.11859,2.93448,2.09764,0,0,0,0,nan,nan,nan,0.000787528,0.000787528,0.000787528
4,1560.12,2.05597,2.54675,2.00997,0,0,0,0,nan,nan,nan,0.00103466,0.00103466,0.00103466
5,1651.03,1.99653,2.21103,1.96377,0,0,0,0,nan,nan,nan,0.0012707,0.0012707,0.0012707
6,1820.23,2.21278,2.4941,2.18422,0,0,0,0,nan,nan,nan,0.00149566,0.00149566,0.00149566
7,1911.91,2.05113,2.34568,2.0563,0,0,0,0,nan,nan,nan,0.00170953,0.00170953,0.00170953
8,2028.79,2.22764,2.52991,2.15451,0,0,0,0,nan,nan,nan,0.0017228,0.0017228,0.0017228
9,2119.68,2.07779,2.32843,2.08577,0,0,0,0,nan,nan,nan,0.0016832,0.0016832,0.0016832
10,2283.47,1.95679,2.14552,1.96518,0,0,0,0,nan,nan,nan,0.0016436,0.0016436,0.0016436
11,2376.15,1.97308,1.93474,1.99406,0.10393,0.09091,0.03445,0.00759,1.55777,7.09537,2.24173,0.001604,0.001604,0.001604
12,2510.12,1.83614,1.8,1.88541,0.00222,0.12121,0.00124,0.00033,4.36089,216.773,5.10005,0.0015644,0.0015644,0.0015644
13,2643.75,1.87117,1.86541,1.87454,0.33853,0.18182,0.18097,0.07861,3.84018,63.8959,3.85314,0.0015248,0.0015248,0.0015248
14,2790.93,1.77893,1.73973,1.78895,0.21838,0.26263,0.21527,0.09138,3.13502,15.1413,4.27846,0.0014852,0.0014852,0.0014852
