epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.04643,1.07728,1.62029,4.18161,1.17154,0.003,0.9,0.00407,0.00251,0.00333,1,0.00497,0.00293,0.78922,1.2023,4.04161,1.00742,0.00012,0.00012,0.00012
2,8.68343,0.99039,1.13892,3.46591,0.97301,0.00333,1,0.37983,0.18655,0.00333,1,0.37983,0.2639,0.81514,0.87107,3.64069,0.81768,0.000257426,0.000257426,0.000257426
3,10.1621,0.98152,0.80312,2.22405,0.86203,0.00333,1,0.69758,0.39547,0.00333,1,0.89944,0.67491,0.8334,0.86999,3.38369,0.80714,0.00039208,0.00039208,0.00039208
4,11.598,0.94461,0.88703,2.07681,0.89757,0.00333,1,0.20921,0.10329,0.00333,1,0.21564,0.14947,0.8056,1.35178,3.37648,0.79003,0.000523962,0.000523962,0.000523962
5,12.9702,0.91505,0.80463,1.90712,0.92298,0.00333,1,0.10186,0.08039,0.00333,1,0.10265,0.07239,0.90571,1.45399,3.57753,0.80681,0.000653072,0.000653072,0.000653072
6,14.3764,0.8681,0.82166,1.79831,0.88727,0.00333,1,0.43551,0.32216,0.00333,1,0.43922,0.36776,0.85924,1.22865,3.52761,0.82033,0.00077941,0.00077941,0.00077941
7,15.6749,0.96334,0.77446,1.76893,0.94312,0.00333,1,0.89602,0.63292,0.00333,1,0.9011,0.70738,0.85186,1.16123,3.45198,0.81141,0.000902976,0.000902976,0.000902976
8,17.0831,1.05082,0.89566,1.70568,0.94421,0.00333,1,0.32952,0.25166,0.00333,1,0.33304,0.26749,0.81626,1.19528,3.41472,0.80604,0.00102377,0.00102377,0.00102377
9,18.5563,0.92226,0.74151,1.563,0.92588,0.00333,1,0.10381,0.07469,0.00333,1,0.10596,0.09448,0.84116,1.0793,3.43809,0.81501,0.00114179,0.00114179,0.00114179
10,19.9259,0.85794,0.76186,1.61909,0.9367,0.00333,1,0.03733,0.0269,0.00333,1,0.04039,0.03265,0.79224,0.91361,3.39597,0.80244,0.00125704,0.00125704,0.00125704
11,21.3797,0.97876,0.7026,1.65383,0.97449,0.21562,0.4,0.23125,0.14822,0.21562,0.4,0.23125,0.20264,1.12114,0.85341,3.11097,0.89976,0.00136952,0.00136952,0.00136952
12,22.6897,1.00445,0.87902,1.5052,0.98718,0.41808,0.4,0.47244,0.32934,0.41808,0.4,0.47244,0.39206,1.0837,1.05742,2.92518,0.90335,0.00147923,0.00147923,0.00147923
13,24.042,0.98495,0.62883,1.51839,0.95623,0.05318,0.43835,0.06236,0.04624,0.05318,0.43835,0.06236,0.0424,0.96368,2.13865,7.1284,0.87122,0.00158616,0.00158616,0.00158616
14,25.3101,0.97245,0.71597,1.47296,0.95773,0.05318,0.43835,0.06236,0.04624,0.05318,0.43835,0.06236,0.0424,0.96368,2.13865,7.1284,0.87122,0.00169032,0.00169032,0.00169032
15,26.6355,0.95898,0.77776,1.49423,0.94331,0.76212,0.64363,0.87379,0.67098,0.76212,0.64363,0.87379,0.59563,0.96341,1.81726,2.44808,0.84014,0.0017228,0.0017228,0.0017228
16,27.9669,0.87289,0.68292,1.57346,0.94879,0.42505,0.9,0.41805,0.30392,0.42505,0.9,0.41805,0.33618,0.98096,1.31816,2.52702,0.81473,0.001703,0.001703,0.001703
17,29.2787,0.89403,0.58834,1.41021,0.91346,1,0.97016,0.995,0.72482,1,0.97016,0.995,0.75867,0.99443,1.50146,1.85105,0.83757,0.0016832,0.0016832,0.0016832
18,30.6012,0.84837,0.62606,1.33615,0.93553,0.8969,0.9,0.95643,0.73976,0.8969,0.9,0.95643,0.82781,0.97846,1.07817,1.79168,0.84261,0.0016634,0.0016634,0.0016634
