epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5239,0.97115,1.38941,7.13137,1.19332,0.00022,0.06061,0.00011,4e-05,0.00011,0.0303,5e-05,3e-05,nan,nan,nan,nan,0.00048,0.00048,0.00048
2,32.1394,1.38625,1.74051,3.2506,1.39464,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.000970298,0.000970298,0.000970298
3,47.4903,1.4867,1.50811,3.38931,1.53481,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0014507,0.0014507,0.0014507
4,62.5601,1.58415,1.44864,2.3282,1.74334,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00192119,0.00192119,0.00192119
5,77.615,1.46337,1.07209,3.24308,1.67428,0.00068,0.09091,0.00059,0.00017,0.00046,0.06061,0.00031,7e-05,nan,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,92.8905,1.44975,1.22796,2.20024,1.68639,0.00226,0.39394,0.00149,0.0008,0.00233,0.39394,0.00141,0.00085,3.56233,8883.83,inf,51.6218,0.001901,0.001901,0.001901
7,108.496,1.5471,1.05335,1.92838,1.68907,0.00222,0.33333,0.00137,0.00066,0.00253,0.36364,0.00149,0.00079,2.37008,100.476,inf,4.39938,0.0018812,0.0018812,0.0018812
8,124.221,1.4353,0.98829,2.01709,1.56118,0.31012,0.09091,0.11597,0.08349,0.12198,0.18182,0.12523,0.08892,1.85208,5.04666,41.7948,2.38993,0.0018614,0.0018614,0.0018614
9,142.156,1.33287,0.9396,1.66785,1.51686,0.43636,0.27273,0.23481,0.1542,0.43636,0.27273,0.24929,0.17615,1.4765,8.79742,27.8497,1.69172,0.0018416,0.0018416,0.0018416
10,167.987,1.30629,0.78047,1.47315,1.47071,0.76071,0.39394,0.44149,0.27337,0.76071,0.39394,0.42483,0.28465,2.2471,3.21844,2.95889,2.53181,0.0018218,0.0018218,0.0018218
11,185.638,1.28252,0.62109,1.36857,1.48729,0.5952,0.54545,0.61543,0.33377,0.66507,0.60606,0.6625,0.36705,1.48751,1.27718,1.97137,1.95539,0.001802,0.001802,0.001802
12,201.67,1.2227,0.71486,1.33178,1.41367,0.81172,0.51515,0.66478,0.36303,0.83537,0.54545,0.69977,0.44338,1.45477,1.04244,2.87827,1.90644,0.0017822,0.0017822,0.0017822
13,216.279,1.19074,0.71605,1.17919,1.44913,0.58456,0.63636,0.63535,0.30233,0.56065,0.72727,0.69752,0.31493,1.46636,0.81145,3.91718,1.8638,0.0017624,0.0017624,0.0017624
14,230.086,1.16087,0.67626,1.09886,1.31678,0.69149,0.54343,0.61024,0.32724,0.67242,0.62228,0.64423,0.35904,1.61774,1.22835,1.79319,1.99998,0.0017426,0.0017426,0.0017426
15,244.237,1.07599,0.61731,1.02071,1.31542,0.67837,0.54545,0.67285,0.3714,0.74401,0.60606,0.72126,0.40727,1.96533,0.6826,1.50685,2.17765,0.0017228,0.0017228,0.0017228
16,258.53,1.0343,0.58485,0.96443,1.26579,0.69778,0.56,0.63414,0.3699,0.66163,0.54545,0.58543,0.41382,1.56406,1.66472,1.68223,1.7775,0.001703,0.001703,0.001703
17,272.608,1.11507,0.62753,0.94955,1.35583,0.66545,0.57576,0.61752,0.35955,0.70048,0.60606,0.63526,0.392,1.59968,1.3123,2.19658,1.95055,0.0016832,0.0016832,0.0016832
18,286.718,1.10681,0.58464,0.98594,1.30266,0.85241,0.60606,0.68668,0.42325,0.89542,0.63636,0.70566,0.43803,1.63355,1.31926,1.31154,1.85893,0.0016634,0.0016634,0.0016634
19,301.674,1.02168,0.4979,0.94972,1.2608,0.75336,0.51515,0.63159,0.34664,0.61296,0.66667,0.6883,0.36683,1.88305,0.78153,1.71153,1.8789,0.0016436,0.0016436,0.0016436
20,331.364,0.98904,0.58455,0.87207,1.25988,0.83441,0.63636,0.7959,0.45007,0.85306,0.70387,0.82791,0.51837,1.35833,0.57137,1.47159,1.7324,0.0016238,0.0016238,0.0016238
21,347.668,0.96145,0.52618,0.87812,1.1767,0.68827,0.66913,0.74915,0.43996,0.82296,0.66667,0.81281,0.45092,1.32006,1.20199,2.0537,1.65168,0.001604,0.001604,0.001604
22,363.698,0.95628,0.61398,0.87945,1.24539,0.47669,0.88337,0.6397,0.30654,0.71747,0.72727,0.79596,0.3982,1.7452,0.77862,1.65064,1.9646,0.0015842,0.0015842,0.0015842
23,380.374,0.95845,0.51989,0.85893,1.22814,0.69426,0.84848,0.821,0.4813,0.70214,0.85734,0.85336,0.5183,1.61562,0.83828,1.21574,1.80611,0.0015644,0.0015644,0.0015644
24,395.645,0.90094,0.49347,0.77965,1.15748,0.75864,0.78788,0.7432,0.42488,0.75864,0.78788,0.7532,0.43255,1.45905,1.34891,1.62774,1.84176,0.0015446,0.0015446,0.0015446
25,409.378,0.8906,0.45842,0.75658,1.15425,0.62253,0.74978,0.69345,0.34829,0.65495,0.74793,0.73088,0.38477,1.55294,0.954,1.73216,1.98161,0.0015248,0.0015248,0.0015248
26,423.399,0.87604,0.4804,0.71187,1.17854,0.84927,0.68323,0.75596,0.45692,0.8866,0.71105,0.7783,0.46408,1.47806,1.64427,1.78843,1.91663,0.001505,0.001505,0.001505
27,437.571,0.85357,0.40839,0.71633,1.15238,0.73822,0.76928,0.80932,0.53163,0.76573,0.78788,0.87,0.56297,1.28502,0.60212,1.74229,1.70661,0.0014852,0.0014852,0.0014852
28,452.102,0.84367,0.417,0.72707,1.15838,0.78662,0.78788,0.84508,0.46475,0.78662,0.78788,0.86547,0.56142,1.42981,0.66348,1.39307,1.8567,0.0014654,0.0014654,0.0014654
29,466.136,0.85939,0.46663,0.73082,1.20562,0.69421,0.69697,0.78639,0.46126,0.69421,0.69697,0.77425,0.43847,1.34506,0.7155,1.49116,1.82184,0.0014456,0.0014456,0.0014456
30,480.314,0.82767,0.42923,0.71655,1.13892,0.6043,0.87879,0.80482,0.49471,0.6548,0.86237,0.80637,0.5289,1.32887,0.60331,1.05062,1.73184,0.0014258,0.0014258,0.0014258
31,494.511,0.83717,0.43748,0.69137,1.15335,0.81695,0.66667,0.81029,0.49957,0.90909,0.72727,0.87227,0.52871,1.5294,0.47364,1.16391,1.97576,0.001406,0.001406,0.001406
32,512.786,0.81996,0.4058,0.65265,1.1613,0.85943,0.66667,0.82395,0.50178,0.83913,0.69697,0.83226,0.54194,1.36526,0.52736,0.96183,1.7698,0.0013862,0.0013862,0.0013862
33,528.654,0.74709,0.42879,0.60509,1.07932,0.87513,0.72727,0.87187,0.48359,0.81041,0.7774,0.89299,0.51244,1.5439,0.44878,0.8935,1.93178,0.0013664,0.0013664,0.0013664
34,545.109,0.76865,0.45514,0.6229,1.08434,0.79779,0.69697,0.82123,0.50401,0.84101,0.72727,0.84865,0.5466,1.29296,0.57129,0.94686,1.76388,0.0013466,0.0013466,0.0013466
35,560.616,0.75382,0.42822,0.59549,1.06882,0.69238,0.54545,0.69628,0.43223,0.97251,0.48485,0.71041,0.47588,1.64646,0.78932,1.17722,1.81024,0.0013268,0.0013268,0.0013268
