epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.55413,1.04483,1.36816,3.14197,1.08566,1,0.35549,0.94765,0.51321,1,0.35549,0.94765,0.655,0.89845,0.96376,2.69251,0.88682,0.00048,0.00048,0.00048
2,10.6058,0.8548,0.87693,1.7956,0.91003,0.23559,0.06061,0.09941,0.03581,0.64662,0.16724,0.34024,0.18535,0.7499,0.73191,3.37301,0.94091,0.000970298,0.000970298,0.000970298
3,14.6121,0.9315,0.82332,1.69702,0.95937,0.67299,0.56154,0.60757,0.36516,0.67299,0.56154,0.60765,0.50227,1.08495,0.58112,2.7657,1.07292,0.0014507,0.0014507,0.0014507
4,18.5868,0.92175,0.76339,1.60101,0.94671,0.36693,0.75528,0.42388,0.26174,0.35686,0.68947,0.44726,0.36,0.97428,0.73422,4.66341,1.06976,0.00192119,0.00192119,0.00192119
5,22.5097,0.94819,0.72301,1.46101,0.97047,0.05882,0.69508,0.05363,0.03537,0.05882,0.69508,0.05363,0.04213,0.9424,1.08868,13.3475,1.08514,0.0019208,0.0019208,0.0019208
6,26.4943,0.88664,0.60296,1.40282,0.95181,0.95389,0.93939,0.98648,0.65851,0.95389,0.93939,0.98648,0.7316,1.04534,0.96021,1.50149,1.11759,0.001901,0.001901,0.001901
7,30.4794,0.87959,0.64099,1.22987,0.95978,0.96028,0.73274,0.88137,0.48629,0.96028,0.73274,0.88137,0.59236,1.14938,0.75645,1.72221,1.27682,0.0018812,0.0018812,0.0018812
8,34.5067,0.87187,0.64909,1.143,0.94288,0.95669,0.84848,0.88864,0.57758,0.99108,0.87879,0.92043,0.69204,1.03807,0.63832,1.48643,1.10979,0.0018614,0.0018614,0.0018614
9,38.4903,0.83159,0.65503,1.09976,0.93959,0.96583,1,0.99324,0.63691,0.96583,1,0.99324,0.71358,1.03673,0.69102,1.36215,1.13932,0.0018416,0.0018416,0.0018416
10,42.4135,0.85304,0.61139,1.04214,0.97125,0.91075,0.87879,0.92377,0.62549,0.87792,0.84848,0.88756,0.63069,0.99462,0.63062,1.31306,1.17655,0.0018218,0.0018218,0.0018218
11,46.4231,0.79212,0.50511,0.98395,0.92186,0.87515,0.9697,0.97605,0.67411,0.87515,0.9697,0.97605,0.67292,0.89229,0.70114,1.31087,1.00681,0.001802,0.001802,0.001802
12,50.3704,0.76898,0.51707,0.92544,0.93565,1,0.964,0.99329,0.75052,1,0.964,0.99329,0.797,0.80053,0.77899,1.0034,0.98924,0.0017822,0.0017822,0.0017822
13,54.2708,0.72123,0.56418,0.87264,0.91209,0.95128,1,0.99324,0.80033,0.95128,1,0.99324,0.85128,0.68339,0.4962,0.84578,0.93656,0.0017624,0.0017624,0.0017624
14,58.2931,0.75113,0.54807,0.85553,0.92193,0.89047,0.98569,0.97074,0.77129,0.89047,0.98569,0.97074,0.83033,0.67996,0.55819,0.79183,0.91764,0.0017426,0.0017426,0.0017426
15,62.3739,0.7279,0.538,0.82831,0.9004,0.97005,0.98159,0.98353,0.74936,0.97005,0.98159,0.98353,0.80294,0.74674,0.46534,0.75903,0.96398,0.0017228,0.0017228,0.0017228
16,66.3693,0.77278,0.55759,0.80696,0.92869,0.965,1,0.99235,0.76267,0.965,1,0.99235,0.86532,0.74074,0.5567,0.71733,0.96286,0.001703,0.001703,0.001703
17,70.2975,0.75561,0.54071,0.76005,0.91606,0.99172,0.9697,0.99412,0.81087,0.99172,0.9697,0.99412,0.866,0.58787,0.48855,0.60403,0.88727,0.0016832,0.0016832,0.0016832
18,74.3834,0.76136,0.47554,0.79338,0.91543,0.96849,1,0.99235,0.77388,0.96849,1,0.99235,0.81828,0.72633,0.49875,0.69684,0.95964,0.0016634,0.0016634,0.0016634
19,78.413,0.68496,0.43213,0.72655,0.89917,0.9705,0.9697,0.99412,0.78555,0.9705,0.9697,0.99412,0.85655,0.68627,0.43053,0.78348,0.90382,0.0016436,0.0016436,0.0016436
20,82.3989,0.69193,0.51101,0.70403,0.88893,0.97052,1,0.995,0.7761,0.97052,1,0.995,0.8739,0.76532,0.39943,0.6415,0.90598,0.0016238,0.0016238,0.0016238
21,86.3194,0.70263,0.46461,0.67288,0.90721,0.96739,1,0.99324,0.79192,0.96739,1,0.99324,0.86762,0.71142,0.44763,0.55961,0.88467,0.001604,0.001604,0.001604
22,90.2455,0.67866,0.51352,0.65005,0.878,0.99627,1,0.995,0.8146,0.99627,1,0.995,0.85804,0.58787,0.40418,0.50304,0.86385,0.0015842,0.0015842,0.0015842
23,94.2179,0.66218,0.46788,0.66283,0.89124,0.9904,1,0.995,0.81324,0.9904,1,0.995,0.86774,0.59852,0.44322,0.51108,0.86408,0.0015644,0.0015644,0.0015644
24,98.2226,0.64487,0.48197,0.61099,0.88049,0.9658,1,0.99412,0.84734,0.9658,1,0.99412,0.83478,0.55122,0.45086,0.45878,0.85409,0.0015446,0.0015446,0.0015446
25,102.149,0.65244,0.46074,0.59497,0.86994,0.93675,1,0.99063,0.8129,0.93675,1,0.99063,0.85388,0.60712,0.52913,0.48895,0.85428,0.0015248,0.0015248,0.0015248
26,106.105,0.61029,0.4672,0.57643,0.86921,0.95836,1,0.99324,0.80828,0.95836,1,0.99324,0.8208,0.63863,0.47144,0.61773,0.87516,0.001505,0.001505,0.001505
27,110.074,0.61225,0.42632,0.55681,0.85763,0.9918,1,0.995,0.83576,0.9918,1,0.995,0.83835,0.60244,0.4907,0.47965,0.85379,0.0014852,0.0014852,0.0014852
28,114.13,0.60359,0.42038,0.56486,0.87455,0.93747,0.9697,0.9853,0.84013,0.93747,0.9697,0.9853,0.86505,0.49936,0.38836,0.4506,0.83087,0.0014654,0.0014654,0.0014654
29,118.083,0.63155,0.4748,0.59114,0.87312,0.99351,0.9697,0.99412,0.82796,0.99351,0.9697,0.99412,0.91672,0.5591,0.3622,0.46213,0.84544,0.0014456,0.0014456,0.0014456
30,121.986,0.61279,0.459,0.55082,0.88528,0.99585,1,0.995,0.83989,0.99585,1,0.995,0.89043,0.56072,0.43816,0.48289,0.84987,0.0014258,0.0014258,0.0014258
31,125.976,0.58392,0.42222,0.51761,0.88169,0.96335,1,0.99412,0.83572,0.96335,1,0.99412,0.84085,0.54361,0.4277,0.48235,0.8478,0.001406,0.001406,0.001406
32,129.829,0.5688,0.41732,0.53015,0.86273,0.98756,0.93939,0.97962,0.82683,0.98756,0.93939,0.97962,0.85451,0.54685,0.43299,0.50533,0.85647,0.0013862,0.0013862,0.0013862
33,133.775,0.59199,0.47532,0.5075,0.85796,0.99272,0.87879,0.96877,0.82015,0.99272,0.87879,0.96877,0.82741,0.62949,0.49579,0.54265,0.89652,0.0013664,0.0013664,0.0013664
34,137.777,0.58918,0.43942,0.51154,0.87636,0.93855,1,0.99238,0.85011,0.93855,1,0.99238,0.8929,0.60622,0.45526,0.43604,0.84898,0.0013466,0.0013466,0.0013466
35,141.73,0.592,0.43907,0.50493,0.87066,0.96985,0.97481,0.99412,0.82694,0.96985,0.97481,0.99412,0.82743,0.66449,0.37421,0.46252,0.85723,0.0013268,0.0013268,0.0013268
36,145.742,0.56873,0.41305,0.4981,0.87231,0.99802,1,0.995,0.8802,0.99802,1,0.995,0.83855,0.58032,0.41253,0.4805,0.84184,0.001307,0.001307,0.001307
37,149.623,0.60619,0.45017,0.5007,0.86207,0.98417,1,0.995,0.85042,0.98417,1,0.995,0.86558,0.63957,0.45751,0.47909,0.87297,0.0012872,0.0012872,0.0012872
38,153.562,0.5619,0.38534,0.48657,0.86236,0.99007,1,0.995,0.83785,0.99007,1,0.995,0.87877,0.54302,0.42301,0.42012,0.84547,0.0012674,0.0012674,0.0012674
39,157.496,0.57609,0.44768,0.49367,0.86532,0.99744,1,0.995,0.85463,0.99744,1,0.995,0.87554,0.55864,0.42915,0.41854,0.85387,0.0012476,0.0012476,0.0012476
40,161.496,0.53786,0.41787,0.46375,0.86166,0.99575,1,0.995,0.87655,0.99575,1,0.995,0.89735,0.50988,0.41339,0.40197,0.82958,0.0012278,0.0012278,0.0012278
