epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.96375,0.41419,0.471,0.32701,0.81461,0.9973,0.93939,0.98,0.85496,0.9973,0.93939,0.94655,0.85786,0.48241,0.88896,0.42487,0.80987,0.00048,0.00048,0.00048
2,9.84387,0.41453,0.43729,0.34535,0.83802,0.99768,0.9697,0.9925,0.85348,0.99768,0.9697,0.96931,0.88076,0.59262,0.93736,0.42712,0.82161,0.000970298,0.000970298,0.000970298
3,13.6472,0.49347,0.47648,0.39689,0.8384,0.95676,1,0.99324,0.79429,0.95676,1,0.99324,0.86809,0.75997,0.63483,0.51302,0.83755,0.0014507,0.0014507,0.0014507
4,17.5048,0.53742,0.51474,0.44331,0.85236,0.98804,0.90909,0.96617,0.81502,0.98804,0.90909,0.96552,0.83588,0.67796,0.69296,0.63444,0.84127,0.00192119,0.00192119,0.00192119
5,21.3243,0.525,0.47356,0.43099,0.84446,0.61175,0.75758,0.70684,0.56117,0.61175,0.75758,0.70684,0.59602,0.72898,0.47653,1.0179,0.90956,0.0019208,0.0019208,0.0019208
6,25.1941,0.52296,0.46386,0.43542,0.85054,0.94027,0.95434,0.98823,0.8106,0.94027,0.95434,0.98823,0.85053,0.62079,0.48787,0.51343,0.90463,0.001901,0.001901,0.001901
7,28.9575,0.5313,0.49522,0.42417,0.86032,0.99091,0.87879,0.95323,0.79284,0.99091,0.87879,0.95323,0.7868,0.69067,0.69664,0.6125,0.95918,0.0018812,0.0018812,0.0018812
8,32.9074,0.5355,0.50985,0.43101,0.85622,0.98945,0.87879,0.95605,0.7908,0.98945,0.87879,0.95605,0.83108,0.67131,0.50164,0.53464,0.92761,0.0018614,0.0018614,0.0018614
9,36.7405,0.514,0.46583,0.42995,0.852,0.96638,0.87128,0.95925,0.79356,0.96638,0.87128,0.94959,0.86551,0.634,0.68012,0.57753,0.8969,0.0018416,0.0018416,0.0018416
10,40.4609,0.54763,0.50349,0.44104,0.87442,0.96205,0.93939,0.97133,0.80908,0.96205,0.93939,0.97133,0.8677,0.63776,0.71924,0.51081,0.9166,0.0018218,0.0018218,0.0018218
11,44.2726,0.49143,0.44468,0.40301,0.8524,0.96712,0.89147,0.96862,0.81074,0.96712,0.89147,0.96862,0.86653,0.55334,0.59723,0.50066,0.89353,0.001802,0.001802,0.001802
