epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.61544,0.99249,1.51771,3.13415,1.06904,0.00333,1,0.68443,0.45475,0.00333,1,0.68443,0.54536,0.91339,0.87371,3.04572,0.91555,0.00048,0.00048,0.00048
2,10.6562,0.76684,0.89356,1.59768,0.91072,0.00333,1,0.01421,0.00781,0.00333,1,0.01135,0.00733,1.13424,1.40239,3.52302,1.1889,0.000970298,0.000970298,0.000970298
3,14.6446,0.82281,0.84852,1.59376,0.92728,0.03983,0.0303,0.00859,0.00431,0.03983,0.0303,0.00917,0.00576,1.00311,1.415,3.98926,1.07029,0.0014507,0.0014507,0.0014507
4,18.5788,0.83216,0.87962,1.53682,0.94579,0.3817,0.27273,0.2888,0.16769,0.40144,0.33333,0.30985,0.26799,1.18306,1.73538,2.35965,1.0576,0.00192119,0.00192119,0.00192119
5,22.4798,0.78281,0.82017,1.34248,0.90762,0.15052,0.36364,0.0912,0.05858,0.16013,0.39394,0.12321,0.08725,1.16731,1.91466,2.75287,1.1146,0.0019208,0.0019208,0.0019208
6,26.4593,0.79967,0.75484,1.33769,0.92642,0.61573,0.51515,0.62298,0.44913,0.61573,0.51515,0.62075,0.48182,0.96786,1.08788,2.18466,1.12073,0.001901,0.001901,0.001901
7,30.3326,0.8391,0.77874,1.29561,0.93425,0.79891,0.78788,0.85359,0.58516,0.8198,0.82737,0.85519,0.66701,0.99752,0.81088,1.79122,1.15955,0.0018812,0.0018812,0.0018812
8,34.2252,0.77326,0.76863,1.12743,0.92655,0.8742,0.87879,0.92039,0.61918,0.8742,0.87879,0.93653,0.74486,1.01357,0.50008,1.38722,1.08274,0.0018614,0.0018614,0.0018614
9,38.1768,0.7439,0.69747,1.05647,0.91448,0.91078,0.92822,0.93885,0.64933,0.91078,0.92822,0.9422,0.76179,0.94874,0.61142,1.28121,1.10575,0.0018416,0.0018416,0.0018416
10,42.0957,0.79264,0.73504,1.03305,0.94383,0.83307,0.75619,0.85341,0.62857,0.83307,0.75619,0.85449,0.68392,0.94692,0.59939,1.35739,1.18134,0.0018218,0.0018218,0.0018218
11,46.1212,0.71072,0.616,0.94476,0.90714,0.89188,0.84848,0.90132,0.67219,0.89188,0.84848,0.90132,0.67256,0.92889,0.59289,1.08253,1.09641,0.001802,0.001802,0.001802
