epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.87947,0.88207,1.14672,2.73485,1.03612,0.78255,0.93939,0.87166,0.54734,0.81274,0.9697,0.89892,0.61358,0.90339,0.64586,2.2289,1.01036,0.00048,0.00048,0.00048
2,15.6053,0.89339,0.76045,1.43163,0.97055,0.77906,0.60606,0.62225,0.41015,0.69285,0.54545,0.499,0.30905,1.23357,14.5847,3.65976,1.2663,0.000970298,0.000970298,0.000970298
3,22.1849,0.96136,0.7693,1.42621,1.03602,0.00092,0.21212,0.00057,0.00025,0.00092,0.21212,0.00052,0.00032,4.50618,1571.21,inf,33.9402,0.0014507,0.0014507,0.0014507
4,28.5967,1.17365,0.73088,1.33745,1.11358,0.00042,0.12121,0.00023,5e-05,0.00032,0.09091,0.00017,2e-05,nan,nan,nan,nan,0.00192119,0.00192119,0.00192119
5,34.9415,1.27167,0.70485,1.49618,1.18866,0.00226,0.45455,0.00262,0.00114,0.0019,0.36364,0.00235,0.0012,3.02399,nan,inf,61.4936,0.0019208,0.0019208,0.0019208
6,41.4091,1.0862,0.68397,1.28362,1.06668,0,0,0,0,0,0,0,0,5.88448,2300.22,inf,98.2274,0.001901,0.001901,0.001901
7,47.9397,1.07495,0.80152,1.13806,1.07923,0.00183,0.42424,0.00125,0.00044,0.00058,0.15152,0.00031,5e-05,3.80279,399.407,inf,37.719,0.0018812,0.0018812,0.0018812
8,54.4251,1.05377,0.70675,1.01642,1.04932,0.01747,0.33333,0.00805,0.00358,0.02472,0.24242,0.00972,0.00609,2.18335,31.143,52.0897,2.54951,0.0018614,0.0018614,0.0018614
9,60.8746,0.95151,0.66307,0.91706,1.02825,0.00074,0.15152,0.00037,8e-05,0.0005,0.06061,0.00015,8e-05,4.4325,1838.06,inf,37.8468,0.0018416,0.0018416,0.0018416
10,67.1645,0.95489,0.63841,0.86171,1.00818,0.00227,0.15152,0.00086,0.00014,0,0,0,0,3.9758,389.362,460.617,14.1787,0.0018218,0.0018218,0.0018218
11,73.5378,0.93912,0.56403,0.82476,0.99025,0.01692,0.09091,0.00349,0.00183,0.01692,0.09091,0.00296,0.00208,2.62973,12.5999,230.794,9.4394,0.001802,0.001802,0.001802
12,85.5992,0.90524,0.58842,0.79716,0.99313,0.801,0.60606,0.68436,0.50253,0.73489,0.78788,0.78404,0.53254,0.94507,2.02198,1.43567,1.13034,0.0017822,0.0017822,0.0017822
13,103.649,0.82856,0.60652,0.73601,0.96948,1,0.96156,0.9666,0.65933,1,0.96156,0.9666,0.71634,0.96671,0.89422,0.84888,1.04604,0.0017624,0.0017624,0.0017624
14,110.135,0.79824,0.5751,0.72227,0.94087,0.79254,0.84848,0.87294,0.65343,0.79254,0.84848,0.87294,0.692,0.89808,0.93452,0.89936,0.9915,0.0017426,0.0017426,0.0017426
15,116.387,0.80921,0.59093,0.70922,0.94644,0.81632,0.84848,0.91505,0.66951,0.81632,0.84848,0.91505,0.6961,0.84074,0.80978,0.70044,0.96325,0.0017228,0.0017228,0.0017228
16,122.702,0.82848,0.55232,0.68012,0.95206,0.89582,0.78788,0.91538,0.70271,0.89582,0.78788,0.88136,0.67095,0.96597,1.28904,0.72945,1.0394,0.001703,0.001703,0.001703
17,128.986,0.77376,0.56436,0.62036,0.94282,0.85659,0.90909,0.91163,0.73437,0.85659,0.90909,0.91017,0.72726,0.71177,1.10873,0.66213,0.92483,0.0016832,0.0016832,0.0016832
18,135.491,0.76444,0.47246,0.67239,0.93739,0.82479,0.85605,0.93719,0.73066,0.82479,0.85605,0.91647,0.75622,0.77031,0.90219,0.72443,0.96783,0.0016634,0.0016634,0.0016634
19,141.97,0.72182,0.46526,0.63374,0.92373,0.96752,0.90273,0.93403,0.75989,0.96752,0.90273,0.9314,0.7413,0.75166,0.80665,0.63863,0.90412,0.0016436,0.0016436,0.0016436
20,148.378,0.71853,0.47042,0.63211,0.89892,0.97029,0.98978,0.99324,0.807,0.97029,0.98978,0.99324,0.86718,0.65862,0.50121,0.54939,0.88358,0.0016238,0.0016238,0.0016238
21,154.862,0.69709,0.45312,0.58434,0.92011,0.89284,0.90909,0.944,0.73788,0.89284,0.90909,0.944,0.78325,0.77244,0.48684,0.66762,0.95706,0.001604,0.001604,0.001604
22,161.312,0.68512,0.54785,0.58113,0.90222,0.90346,0.9697,0.95788,0.77386,0.90346,0.9697,0.95788,0.80523,0.85476,0.57818,0.67138,0.98923,0.0015842,0.0015842,0.0015842
23,167.675,0.67099,0.44138,0.54079,0.8999,1,0.86592,0.97698,0.84881,1,0.86592,0.97698,0.81649,0.74161,0.99775,0.66069,0.91248,0.0015644,0.0015644,0.0015644
24,174.255,0.67658,0.43008,0.51922,0.89398,0.9087,0.93939,0.97747,0.80332,0.9087,0.93939,0.97747,0.75887,0.69279,0.97107,0.59282,0.89982,0.0015446,0.0015446,0.0015446
25,182.967,0.65143,0.43439,0.53288,0.87459,0.84441,0.82242,0.93705,0.74849,0.84441,0.82242,0.93705,0.72004,0.69088,1.17789,0.62602,0.88118,0.0015248,0.0015248,0.0015248
26,193.453,0.63268,0.43544,0.5007,0.88753,0.86891,0.87879,0.95941,0.79495,0.86891,0.87879,0.95941,0.82117,0.67734,0.71224,0.60765,0.88154,0.001505,0.001505,0.001505
27,202.248,0.59047,0.34891,0.5063,0.87192,0.93281,0.84162,0.88982,0.76154,0.93281,0.84162,0.88982,0.77054,0.55888,0.72957,0.61759,0.8713,0.0014852,0.0014852,0.0014852
28,210.853,0.6169,0.39541,0.49017,0.88384,0.94082,0.9636,0.98886,0.85253,0.94082,0.9636,0.98886,0.83901,0.54487,0.54723,0.52361,0.85624,0.0014654,0.0014654,0.0014654
29,238.015,0.65374,0.42126,0.50817,0.89615,0.96465,0.82709,0.92672,0.77571,0.96465,0.82709,0.92672,0.79165,0.53032,0.7121,0.77639,0.84593,0.0014456,0.0014456,0.0014456
30,414.71,0.62262,0.41119,0.49798,0.8992,0.98855,0.93939,0.97546,0.82483,0.98855,0.93939,0.97546,0.8392,0.63695,0.64076,0.5585,0.89287,0.0014258,0.0014258,0.0014258
31,486.897,0.57021,0.3717,0.47622,0.87576,0.90756,0.93939,0.97507,0.8236,0.90756,0.93939,0.97507,0.8601,0.66669,0.46274,0.53269,0.87657,0.001406,0.001406,0.001406
32,635.085,0.54707,0.34957,0.46434,0.86467,0.8802,0.89076,0.95828,0.80646,0.8802,0.89076,0.95828,0.81764,0.6658,0.81941,0.55049,0.8936,0.0013862,0.0013862,0.0013862
33,1170.06,0.58555,0.42224,0.45411,0.86516,0.99339,0.81818,0.94378,0.79876,0.99339,0.81818,0.94378,0.79556,0.59486,0.99203,0.57037,0.87759,0.0013664,0.0013664,0.0013664
34,1223.81,0.56343,0.42433,0.46055,0.87349,0.89829,0.9697,0.98216,0.83808,0.89829,0.9697,0.98216,0.83575,0.58658,0.83916,0.50632,0.86522,0.0013466,0.0013466,0.0013466
35,1237.09,0.56576,0.37716,0.44663,0.86993,0.99754,0.93939,0.98493,0.82614,0.99754,0.93939,0.98349,0.82941,0.59872,0.79827,0.50494,0.88366,0.0013268,0.0013268,0.0013268
