epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.64555,0.91185,1.37483,4.43954,1.11993,0.40301,0.36364,0.2386,0.16003,0.40301,0.36364,0.23937,0.20748,1.17976,1.00095,25.6473,1.18757,0.00048,0.00048,0.00048
2,11.0836,0.71507,0.73171,1.34485,0.93151,0.89726,0.72727,0.83193,0.63528,0.89726,0.72727,0.81436,0.62085,0.762,2.38891,3.12127,0.94523,0.000970298,0.000970298,0.000970298
3,15.3155,0.84071,0.76935,1.14677,1.01459,0.46605,0.52919,0.51204,0.20342,0.46145,0.51938,0.52837,0.2254,1.24781,1.91477,11.5808,1.38693,0.0014507,0.0014507,0.0014507
4,19.4805,0.9449,1.10043,1.13301,1.06799,0.2691,0.30303,0.15925,0.07881,0.29531,0.27273,0.19769,0.11916,3.3327,6.30022,3.5248,3.73731,0.00192119,0.00192119,0.00192119
5,23.6149,0.95921,1.1228,0.96352,1.0809,0.2056,0.27273,0.12632,0.05133,0.2056,0.27273,0.12607,0.05765,2.59668,14.6868,5.37845,3.03988,0.0019208,0.0019208,0.0019208
6,27.8585,0.88429,0.96722,0.97041,1.00913,0.79885,0.27273,0.35635,0.26314,0.79885,0.27273,0.34733,0.25058,1.46327,6.39939,6.62684,1.59201,0.001901,0.001901,0.001901
7,31.9803,0.84525,0.90939,0.85978,1.01204,0.83036,0.57576,0.6948,0.46614,0.83036,0.57576,0.69005,0.53818,1.30232,4.41368,1.55664,1.2979,0.0018812,0.0018812,0.0018812
8,36.1445,0.80482,0.78097,0.76625,0.98405,0.78629,0.72727,0.84596,0.57265,0.81767,0.72727,0.83558,0.67936,1.06389,1.29532,1.20263,1.1648,0.0018614,0.0018614,0.0018614
9,40.2669,0.82575,0.7101,0.70885,0.98882,0.82502,0.75758,0.73563,0.48275,0.82502,0.75758,0.73563,0.52345,1.25941,1.01846,1.30384,1.32235,0.0018416,0.0018416,0.0018416
10,44.4436,0.77205,0.6646,0.68339,0.97117,0.80942,0.90106,0.91259,0.66162,0.80942,0.90106,0.89702,0.77511,0.84904,0.75826,0.76099,1.04205,0.0018218,0.0018218,0.0018218
11,48.6888,0.7307,0.62601,0.64923,0.96355,0.95543,0.84848,0.94044,0.69275,0.97538,0.84848,0.9235,0.77073,0.96191,1.47396,0.93242,1.16948,0.001802,0.001802,0.001802
12,52.9401,0.75126,0.57602,0.62219,0.97758,0.94652,0.87879,0.97241,0.69969,0.94652,0.87879,0.97241,0.74641,0.84561,1.03092,0.7479,1.07902,0.0017822,0.0017822,0.0017822
13,57.0744,0.70764,0.57101,0.65096,0.93517,0.9283,0.7848,0.89511,0.66273,0.9283,0.7848,0.87929,0.68276,0.88387,1.37866,0.75737,1.09869,0.0017624,0.0017624,0.0017624
14,61.2843,0.68008,0.53314,0.60646,0.91513,0.96426,0.81764,0.91361,0.71089,0.96426,0.81764,0.89999,0.72266,0.7809,1.24417,0.77979,1.00783,0.0017426,0.0017426,0.0017426
15,65.4588,0.68044,0.55483,0.61305,0.9339,0.90871,0.90508,0.96341,0.71941,0.90871,0.90508,0.96341,0.79396,0.78526,0.73517,0.68384,0.9946,0.0017228,0.0017228,0.0017228
16,69.8173,0.66298,0.5509,0.55015,0.92842,0.93,0.80542,0.90691,0.6832,0.93,0.80542,0.8581,0.72171,0.86219,1.29741,0.75135,1.02154,0.001703,0.001703,0.001703
17,74.0938,0.62843,0.54587,0.5516,0.92133,0.81808,0.81818,0.87532,0.65058,0.81808,0.81818,0.8415,0.6881,0.8772,1.4624,0.78732,1.0084,0.0016832,0.0016832,0.0016832
18,78.3332,0.65752,0.54784,0.55731,0.92217,0.96032,0.84848,0.94511,0.6793,0.96032,0.84848,0.92263,0.72211,0.91785,1.16889,0.69937,1.06272,0.0016634,0.0016634,0.0016634
19,82.5761,0.65767,0.5187,0.54927,0.90864,0.89394,0.87879,0.93769,0.69488,0.89394,0.87879,0.92644,0.71681,0.77729,1.09023,0.70739,0.98994,0.0016436,0.0016436,0.0016436
